Age,Branch,Study_Hours_per_Day,Sleep_Hours,Screen_Time_Hours,Gym_Hours_per_Week,Attendance_Percentage,GPA
23,Mechanical,4.07,6.3,4.88,2.1,80.34,2.59
20,Electrical,5.44,5.2,4.92,5.93,96.58,2.9
19,Civil,7.03,7.18,6.01,4.49,98.82,3.61
21,Civil,1.25,6.43,4.04,7.05,75.34,2.74
21,Electrical,4.57,8.36,7.19,0.0,75.83,3.55
19,Mechanical,2.32,3.9,7.85,4.42,55.35,2.31
25,Mechanical,5.18,9.13,7.92,7.85,87.13,4.0
20,Mechanical,3.59,7.14,1.31,7.06,78.58,2.99
21,IT,4.04,5.52,4.54,9.5,79.59,3.06
20,Mechanical,2.08,7.38,1.13,9.18,70.86,2.78
21,ECE,3.36,8.06,3.47,4.72,71.18,3.02
23,CSE,4.13,6.64,1.0,7.67,83.49,2.71
25,Mechanical,6.03,4.38,5.9,2.52,93.85,2.56
23,Electrical,2.81,6.15,5.44,5.49,68.04,2.28
21,CSE,3.17,7.75,4.13,1.09,74.1,3.29
23,IT,5.42,7.1,3.42,12.97,85.62,2.97
21,Electrical,2.71,6.31,5.63,5.47,70.2,2.61
19,CSE,5.71,8.07,2.98,12.96,82.76,3.97
23,Electrical,3.99,7.39,2.84,8.74,79.99,3.34
18,IT,4.45,7.48,2.6,2.04,83.58,3.48
25,ECE,4.55,6.01,4.59,8.41,79.71,2.95
17,IT,3.08,5.89,3.84,11.53,69.92,2.96
22,IT,4.58,4.46,4.23,6.57,84.98,2.38
23,Electrical,2.84,6.19,6.04,7.41,70.37,2.66
24,Civil,3.25,7.62,6.93,3.91,74.69,3.18
25,Mechanical,4.84,6.26,7.9,7.13,82.01,2.92
18,Mechanical,4.44,7.03,5.12,8.33,88.43,3.36
18,ECE,3.89,7.83,5.7,3.76,75.83,3.06
21,ECE,2.11,6.95,5.38,0.96,79.19,2.72
21,Mechanical,2.49,7.06,1.65,14.21,76.19,2.91
22,Civil,4.42,4.87,4.26,10.38,91.18,2.92
19,Mechanical,5.1,6.11,4.27,3.93,88.81,2.84
24,Civil,2.34,8.57,3.98,8.23,70.57,3.36
17,ECE,2.74,6.62,4.92,0.0,69.11,2.74
22,CSE,4.2,8.78,4.56,0.0,79.23,3.45
20,Electrical,4.17,5.63,3.03,13.07,88.28,2.71
17,ECE,1.56,6.78,4.7,8.29,67.58,2.99
23,ECE,4.24,6.04,3.72,6.73,84.52,2.6
25,IT,3.1,7.21,1.0,8.3,76.55,2.91
20,IT,6.46,7.57,2.21,21.0,93.56,2.96
20,IT,4.37,7.22,5.18,11.87,83.31,3.36
22,Electrical,4.63,7.75,7.18,1.15,85.64,3.65
19,IT,4.67,6.48,1.0,0.0,79.28,3.01
22,Civil,2.18,6.27,3.26,12.91,69.52,2.76
23,Mechanical,6.92,4.39,5.86,11.79,96.13,2.85
19,CSE,1.57,7.27,6.76,10.22,68.65,2.63
23,ECE,5.19,6.71,4.16,2.45,83.66,3.14
19,Civil,4.93,6.42,3.63,9.03,86.72,2.98
18,CSE,3.28,6.27,7.44,2.95,72.57,2.92
20,Civil,5.0,6.46,6.59,10.71,78.88,3.36
24,Civil,3.52,6.22,6.72,12.5,79.09,2.9
25,ECE,2.99,5.87,4.06,3.96,68.94,2.88
23,Mechanical,4.7,6.79,7.23,13.34,84.92,2.89
17,IT,2.49,7.08,1.11,7.64,62.68,2.68
19,Electrical,3.66,5.58,7.26,9.75,74.69,2.87
25,Mechanical,3.11,6.02,4.87,0.0,73.91,2.68
17,Electrical,3.5,6.25,5.26,8.3,69.45,2.64
25,ECE,4.65,6.51,3.11,3.22,81.38,3.37
24,ECE,3.11,6.35,1.37,9.66,81.47,2.82
17,ECE,3.71,7.29,5.22,15.22,72.21,3.08
22,CSE,3.25,4.52,6.1,8.62,74.5,1.68
21,Electrical,6.17,4.73,6.41,1.96,99.34,2.8
22,Mechanical,4.51,6.73,6.19,10.51,77.26,2.82
21,Mechanical,4.33,5.78,5.74,9.25,88.64,2.98
22,Civil,5.03,7.56,3.15,18.53,83.73,3.18
21,Civil,3.11,7.9,6.53,8.42,76.05,3.18
21,Civil,5.29,6.78,2.93,3.72,92.9,2.85
20,ECE,4.52,5.21,7.21,11.32,80.17,2.63
19,Mechanical,1.66,7.77,4.83,6.29,71.45,2.3
19,Electrical,1.86,6.74,4.9,7.45,73.71,2.84
20,ECE,3.14,4.72,6.73,1.8,72.45,2.29
25,CSE,2.02,4.82,7.0,6.31,66.29,2.56
18,Civil,3.64,8.32,6.54,7.17,77.07,3.15
25,ECE,2.48,8.12,3.36,6.28,71.41,3.26
17,ECE,3.85,3.48,6.53,3.69,73.87,2.21
17,CSE,6.12,4.87,3.37,8.61,87.38,2.57
21,IT,3.93,7.87,6.58,1.83,62.3,3.12
22,Mechanical,3.55,6.48,2.15,0.51,76.06,3.14
22,Electrical,4.58,7.34,4.81,10.97,87.38,3.5
19,IT,2.96,6.43,3.36,10.46,66.44,2.44
23,Civil,5.27,7.29,6.74,0.0,84.01,3.65
25,ECE,4.74,6.51,7.23,0.0,95.93,3.12
24,CSE,4.06,5.97,5.4,1.35,80.18,2.96
22,CSE,4.23,7.77,5.33,6.28,87.94,2.98
24,Mechanical,7.06,6.74,6.41,13.46,90.25,3.33
21,IT,5.41,7.28,7.24,6.14,89.31,3.25
24,Mechanical,7.3,6.69,5.07,2.69,90.59,3.38
20,ECE,4.8,5.92,4.0,7.83,86.0,2.6
24,Mechanical,1.79,8.43,6.29,6.36,73.17,2.86
18,Electrical,3.61,6.93,1.28,0.0,81.06,2.68
21,CSE,1.45,6.07,6.82,0.0,65.52,2.42
25,CSE,4.79,8.03,3.58,0.0,85.34,3.15
20,Civil,5.12,4.92,4.52,20.89,87.01,2.98
22,Civil,2.67,9.18,6.83,11.82,76.69,3.54
17,ECE,3.02,6.29,4.17,3.68,74.46,2.73
25,Electrical,4.22,4.98,6.29,13.21,85.77,2.42
17,IT,2.2,8.79,7.28,3.82,78.19,3.12
21,Mechanical,2.09,5.94,5.22,13.02,68.86,2.94
20,ECE,5.86,6.79,5.62,7.45,89.52,2.89
19,Civil,4.17,7.36,4.76,3.31,76.34,2.86
22,Mechanical,3.16,7.92,5.23,10.81,77.52,3.34
18,Civil,1.46,6.86,2.77,7.77,69.04,3.01
19,Mechanical,5.28,5.72,4.41,9.23,86.68,3.21
21,IT,2.97,6.76,2.42,8.21,75.53,2.92
25,ECE,6.79,6.0,3.2,8.15,100.0,3.49
18,Mechanical,5.29,6.8,1.0,11.48,72.01,3.28
24,Electrical,2.79,8.45,5.53,21.0,71.46,3.28
18,CSE,2.93,7.41,8.38,13.99,72.92,2.52
21,Electrical,6.58,6.75,4.09,8.23,100.0,3.24
23,Electrical,3.87,7.39,6.93,5.26,81.74,3.37
24,CSE,3.23,7.47,7.25,5.88,78.65,2.93
17,Electrical,4.04,5.21,2.6,0.0,86.51,2.94
22,Mechanical,3.22,6.55,3.03,10.72,75.22,2.71
17,Mechanical,4.36,9.58,6.98,1.32,85.07,3.4
18,Mechanical,3.89,7.96,4.82,4.91,76.78,3.48
17,CSE,5.31,5.9,2.42,10.75,81.3,2.88
21,Electrical,3.42,5.78,3.73,5.67,86.06,2.41
25,CSE,2.67,5.74,5.84,4.24,75.21,2.5
22,Mechanical,3.48,7.54,3.41,0.29,80.61,2.77
17,Electrical,3.47,8.43,1.0,13.75,71.94,3.12
17,Electrical,3.88,7.2,4.36,2.33,81.97,3.33
18,Civil,4.95,6.69,4.52,3.72,93.65,3.2
25,Civil,4.87,5.97,5.02,0.0,82.96,2.96
19,IT,5.8,6.9,7.52,6.89,82.72,3.21
17,ECE,2.78,5.52,5.11,5.13,74.83,2.62
21,Civil,4.58,4.18,5.49,8.02,77.74,2.9
23,CSE,5.09,8.46,7.11,0.42,77.67,3.47
22,Civil,2.99,5.29,5.02,11.11,71.27,2.45
17,IT,3.69,6.11,9.27,0.0,75.98,3.05
21,Electrical,1.38,7.29,2.47,6.48,61.94,3.22
21,IT,5.36,8.22,3.13,7.65,93.43,3.32
22,Electrical,3.68,6.81,6.23,7.32,87.83,2.87
19,Electrical,5.21,5.07,7.51,7.88,89.14,3.17
21,ECE,4.31,6.14,4.6,11.42,83.47,2.93
23,Civil,3.72,5.69,2.98,14.42,77.9,2.26
21,CSE,1.61,6.45,8.52,6.13,63.57,2.76
21,CSE,1.88,7.98,3.42,1.58,77.4,3.23
21,Mechanical,0.5,3.46,5.68,10.14,62.19,1.86
19,Electrical,3.16,6.01,7.63,5.43,73.47,3.17
17,CSE,7.42,5.92,4.12,14.08,100.0,3.36
21,ECE,2.07,4.99,3.76,3.63,69.97,2.46
25,Electrical,0.5,7.2,3.89,2.2,67.39,2.81
17,ECE,5.44,4.8,6.8,7.81,85.17,3.01
19,CSE,7.55,4.94,7.12,0.0,100.0,3.24
20,CSE,4.45,7.52,5.07,4.38,87.13,3.04
17,Mechanical,4.43,8.3,8.77,5.15,88.79,3.22
17,CSE,3.54,6.41,5.06,8.23,74.13,2.75
24,Electrical,1.31,5.04,7.58,1.42,66.13,2.27
18,Electrical,1.82,5.65,4.14,2.07,78.86,2.78
24,Electrical,3.52,7.71,9.67,13.48,76.39,3.54
23,Mechanical,3.24,6.64,8.14,6.92,80.24,2.4
18,Mechanical,3.83,6.38,4.74,11.84,90.59,3.17
22,CSE,5.24,6.88,7.87,3.97,76.97,2.91
22,IT,3.13,6.45,7.77,6.7,74.24,2.71
19,IT,5.27,8.35,8.11,8.2,86.38,3.42
18,Mechanical,3.14,5.6,1.0,16.79,66.69,3.09
17,CSE,5.56,5.46,6.44,5.78,85.51,2.84
22,IT,4.13,4.84,6.08,6.07,75.79,2.64
21,CSE,3.35,5.85,5.94,13.15,81.02,2.88
25,CSE,4.1,5.19,5.44,4.87,71.86,2.67
17,CSE,3.56,6.76,5.5,8.59,87.25,2.94
23,Civil,4.17,6.53,7.57,12.66,84.3,3.12
21,Electrical,5.14,5.21,6.08,3.78,80.42,2.48
21,CSE,3.87,7.21,5.43,8.91,84.48,3.2
18,Civil,3.45,8.32,7.28,16.78,80.21,3.31
19,Mechanical,2.31,6.93,5.84,12.16,71.38,3.1
23,IT,4.87,3.45,6.03,8.6,80.74,2.73
22,Electrical,4.52,8.88,8.73,5.74,85.35,2.98
18,IT,2.23,7.4,4.13,3.62,71.75,2.58
22,Electrical,5.25,8.85,1.97,1.47,82.82,3.5
18,IT,2.2,7.81,5.14,15.45,64.3,3.18
18,Electrical,5.54,8.05,5.43,14.37,83.47,3.62
18,IT,5.03,6.75,6.44,3.32,82.64,2.84
19,IT,4.63,6.19,5.21,8.89,88.96,3.0
18,IT,3.43,6.95,6.51,7.62,81.48,2.71
20,IT,4.86,5.65,10.01,13.63,82.07,2.98
25,Mechanical,5.61,7.02,6.6,9.14,86.02,3.28
22,CSE,4.89,3.35,6.95,6.87,89.4,2.36
17,ECE,2.99,6.55,4.74,3.97,76.31,2.82
24,Civil,4.4,8.11,2.23,8.91,83.27,3.66
23,ECE,5.7,6.61,1.0,5.05,84.97,2.82
19,ECE,7.3,8.57,3.96,8.24,95.88,3.95
17,Electrical,3.69,6.18,1.0,6.57,78.48,2.58
21,CSE,5.29,7.7,6.03,4.91,85.98,3.57
20,Electrical,5.7,5.45,4.23,1.55,92.18,2.95
24,CSE,2.78,7.65,2.37,9.88,77.73,3.42
17,CSE,6.67,6.78,5.26,7.24,88.77,3.08
17,IT,2.4,6.24,3.52,17.01,69.51,3.01
20,Mechanical,5.21,3.41,5.9,1.22,82.63,2.32
24,IT,4.46,6.19,6.42,10.5,89.23,2.75
21,Mechanical,4.08,6.76,3.6,6.54,91.68,3.14
18,Electrical,7.82,7.49,4.53,18.76,96.78,3.6
22,Mechanical,3.55,8.37,5.43,10.07,76.91,3.08
21,Electrical,3.52,8.94,2.19,8.82,81.83,3.33
18,ECE,6.0,8.0,5.43,6.55,86.45,3.6
19,ECE,5.14,5.83,2.14,3.06,90.04,3.09
25,Mechanical,5.92,6.13,6.13,8.74,89.51,2.7
23,Mechanical,4.18,7.39,4.13,0.0,72.16,3.18
23,Electrical,4.48,7.12,2.13,0.0,75.87,3.09
22,IT,6.85,8.45,3.84,12.67,92.57,4.0
24,Electrical,2.75,9.48,3.92,0.0,79.85,3.04
20,IT,3.85,9.22,7.14,5.21,74.77,3.88
24,ECE,5.2,8.29,5.35,1.12,83.32,3.55
20,CSE,3.71,7.13,3.09,4.75,79.59,2.75
24,Mechanical,3.14,8.12,8.3,8.03,67.38,3.1
25,IT,4.93,8.49,6.25,12.51,86.13,3.44
19,Electrical,6.0,6.32,4.33,13.82,82.3,2.68
19,ECE,3.79,5.86,1.89,1.85,81.78,2.57
18,IT,3.75,5.58,4.15,4.39,74.69,2.64
19,Electrical,3.03,5.45,4.56,21.0,70.43,3.0
19,Mechanical,3.56,4.84,5.74,5.6,79.14,2.81
21,Mechanical,5.63,6.8,6.21,2.06,92.1,3.23
21,Civil,4.12,5.3,6.61,2.99,82.49,2.69
18,CSE,2.79,5.56,1.78,5.63,75.0,2.54
22,Civil,4.39,7.34,5.42,4.8,83.08,3.18
21,ECE,5.58,6.72,4.68,5.69,89.8,3.01
22,IT,3.16,7.02,10.36,6.88,78.03,3.05
17,ECE,2.01,8.14,5.13,6.84,68.06,2.96
21,Electrical,7.29,7.54,3.75,1.65,99.7,3.48
25,Mechanical,1.93,8.32,5.22,9.07,65.67,2.68
18,Civil,3.46,6.6,4.98,7.68,82.76,2.82
17,Civil,4.35,8.43,1.02,9.78,85.65,3.15
25,Civil,3.59,6.93,5.82,0.0,88.86,3.2
25,ECE,3.89,6.7,4.38,7.88,82.01,3.16
25,Mechanical,4.87,8.25,4.95,0.0,88.87,3.84
22,IT,0.5,5.45,3.25,6.02,54.7,2.24
24,Electrical,2.1,8.93,2.81,10.68,75.21,2.87
17,IT,4.07,6.16,6.76,12.86,86.21,2.97
20,ECE,3.39,5.04,7.22,8.87,84.49,2.36
17,Electrical,4.19,7.28,5.84,10.78,81.57,3.18
24,Civil,4.34,6.05,1.38,5.33,80.0,2.55
17,CSE,0.83,8.93,5.97,4.15,58.68,2.44
19,ECE,5.91,5.98,1.41,21.0,84.56,3.14
20,ECE,3.25,6.88,3.68,11.63,76.13,3.07
24,Mechanical,2.7,4.79,6.73,0.43,64.75,2.16
22,IT,4.31,7.48,6.32,0.0,77.72,3.48
23,ECE,4.16,5.57,5.91,4.4,81.25,2.98
24,ECE,5.8,7.33,7.63,13.67,89.31,3.66
18,Civil,4.41,5.99,6.12,7.27,77.19,2.77
24,Civil,5.74,4.04,1.0,0.0,82.52,2.34
19,Electrical,2.59,6.66,4.26,6.01,67.54,2.96
23,CSE,4.21,6.6,4.92,6.99,79.96,3.02
19,Mechanical,2.33,7.56,4.68,0.0,82.29,2.84
23,CSE,4.15,8.37,3.77,7.14,86.03,3.06
18,Electrical,3.83,8.79,2.94,1.33,80.21,3.53
22,Civil,3.76,7.54,9.8,0.0,81.59,3.12
19,IT,3.78,6.83,4.22,15.99,83.97,3.11
19,Civil,5.1,4.79,9.7,1.08,88.9,2.54
25,Mechanical,1.59,6.74,2.72,3.26,66.4,2.83
23,Civil,2.65,6.76,6.31,3.19,69.02,2.71
21,Mechanical,3.94,6.26,5.46,7.01,79.07,2.73
23,Mechanical,2.23,7.26,3.16,16.89,76.18,2.83
25,Mechanical,4.07,7.85,4.06,0.3,78.99,3.26
17,Electrical,3.92,5.52,4.97,5.28,74.1,3.19
23,Mechanical,1.89,5.5,3.31,7.68,60.85,2.44
22,Mechanical,1.82,6.33,4.49,2.13,68.5,2.89
25,IT,0.5,5.76,1.0,5.19,57.37,2.28
17,CSE,2.17,4.53,6.42,10.33,68.66,2.55
20,ECE,4.02,5.3,7.45,2.77,87.39,2.2
25,CSE,4.23,5.02,5.91,5.1,80.9,2.74
20,Mechanical,4.3,7.95,9.53,4.58,77.76,2.76
19,IT,2.83,8.54,6.36,6.42,75.71,3.21
25,Civil,3.97,5.19,7.29,8.36,89.47,2.58
18,IT,4.6,7.16,7.48,10.28,82.38,3.37
20,Mechanical,2.1,7.55,1.0,17.85,58.71,3.08
22,IT,4.18,4.71,5.85,0.0,84.18,2.81
18,IT,4.98,6.69,2.23,6.06,86.66,2.79
24,Mechanical,3.26,9.54,2.64,0.0,76.77,2.96
24,Electrical,5.59,7.31,2.99,4.84,86.87,3.46
17,IT,3.3,6.21,4.37,11.93,72.46,2.87
19,ECE,2.71,5.83,6.3,13.71,81.12,2.53
25,ECE,4.84,4.07,5.87,13.97,74.98,2.37
21,IT,7.05,7.06,4.97,13.92,93.7,3.61
22,Electrical,4.13,8.84,6.45,6.03,78.98,3.2
20,Civil,4.95,5.52,6.57,14.83,89.03,2.85
18,Mechanical,3.24,4.18,5.89,15.94,82.36,2.13
24,ECE,2.14,5.7,1.55,7.78,69.55,2.31
22,Civil,4.25,7.56,3.52,13.59,82.21,3.14
21,IT,4.49,5.99,5.05,7.23,83.82,2.72
25,Civil,3.46,5.52,6.47,14.9,82.58,2.95
17,CSE,4.95,6.52,2.34,6.09,89.9,2.77
21,ECE,3.02,6.78,4.98,3.59,72.4,2.9
22,IT,2.65,4.83,1.87,0.73,75.42,2.41
21,Mechanical,5.59,6.24,7.05,6.03,89.87,3.2
22,Electrical,5.6,5.9,5.48,7.47,87.41,3.18
22,IT,3.05,5.73,2.31,1.7,77.11,3.02
23,Mechanical,6.58,5.28,2.29,5.6,92.99,2.87
20,Electrical,3.57,7.63,5.77,4.05,78.64,3.34
24,Electrical,4.13,5.73,7.75,0.97,73.86,2.26
23,IT,3.87,4.11,2.81,12.8,74.78,2.01
25,Civil,4.79,6.82,6.57,13.79,88.02,3.52
23,Civil,4.41,7.37,3.92,12.78,75.98,3.18
19,Electrical,4.39,5.54,6.65,6.53,84.29,2.97
19,Civil,2.47,5.83,6.37,6.87,71.95,2.51
24,CSE,1.47,5.72,5.31,1.05,72.49,2.5
21,Electrical,5.71,6.08,1.33,9.32,91.81,3.47
20,Electrical,3.18,7.83,6.36,7.95,73.64,2.91
24,Mechanical,3.93,6.36,6.0,21.0,78.52,3.33
22,Civil,4.49,7.51,5.82,13.09,72.52,2.84
18,Electrical,6.44,5.34,5.39,8.77,91.57,2.73
20,CSE,4.24,6.04,3.24,6.77,74.86,2.71
20,Mechanical,3.41,7.64,7.17,12.61,75.95,3.11
22,IT,3.21,5.53,6.8,1.87,72.88,2.4
22,Electrical,3.94,7.71,2.85,13.38,75.34,2.94
17,CSE,2.64,5.75,7.63,0.91,79.12,2.41
24,ECE,4.04,6.11,5.26,3.86,73.84,2.94
22,CSE,3.92,8.5,5.26,0.0,74.79,3.33
19,CSE,6.46,5.98,4.65,10.44,88.82,3.1
25,Mechanical,3.87,6.67,4.84,8.4,76.97,3.24
18,IT,1.11,7.24,7.74,3.86,61.18,2.43
24,ECE,8.01,6.77,7.07,1.8,98.26,3.75
19,Civil,5.44,6.81,7.02,14.72,88.69,3.23
21,Civil,7.12,6.43,5.37,6.25,98.97,3.22
22,CSE,2.26,4.94,6.78,2.7,74.43,2.7
22,Mechanical,3.67,6.92,3.33,17.76,68.8,3.34
20,Mechanical,5.01,5.62,6.17,3.32,86.96,2.94
19,Civil,4.8,7.43,4.69,13.38,86.23,3.21
20,ECE,4.46,8.15,1.0,0.55,78.99,3.14
17,IT,0.7,4.33,1.83,5.01,71.84,1.6
20,ECE,1.43,8.15,3.67,9.81,72.6,2.9
17,Electrical,6.28,6.01,5.83,6.68,90.47,2.86
17,Electrical,6.54,6.34,3.68,8.37,89.74,2.76
22,IT,3.84,5.41,3.82,3.98,87.46,2.53
21,Civil,6.09,6.73,6.53,0.0,90.33,3.44
20,IT,2.47,6.58,3.89,15.21,72.75,2.84
19,Mechanical,2.81,7.79,7.66,4.32,74.4,3.22
17,Electrical,2.35,5.61,7.33,8.62,83.25,2.72
22,CSE,2.73,8.49,5.04,10.93,72.54,3.37
18,CSE,5.08,7.3,6.51,8.73,85.3,3.16
24,Civil,2.71,6.61,6.23,3.03,69.38,2.61
21,Mechanical,7.36,6.28,4.51,13.49,94.85,3.32
23,ECE,4.69,6.13,6.72,9.88,78.29,3.07
18,Mechanical,5.63,6.21,7.02,8.11,84.08,2.96
24,CSE,4.73,6.7,3.1,7.98,74.62,3.05
18,CSE,5.82,6.25,5.31,16.42,93.51,3.23
20,Electrical,2.7,5.73,5.29,2.91,74.27,2.47
17,Mechanical,6.17,6.71,6.7,9.33,92.05,3.12
21,Mechanical,4.21,5.5,4.11,4.04,80.79,2.26
25,CSE,5.81,6.89,3.8,0.0,89.43,3.13
17,ECE,1.84,6.23,5.34,0.0,77.3,2.52
25,Civil,4.27,7.34,7.36,1.32,77.51,3.08
24,Civil,4.22,7.69,2.6,3.31,82.48,3.33
22,Mechanical,3.07,7.69,2.95,19.17,76.72,3.27
23,Civil,4.47,6.88,3.96,10.91,88.06,3.14
19,CSE,6.31,7.02,4.31,11.41,93.74,3.3
17,CSE,2.96,6.11,1.47,3.43,77.22,2.74
21,Mechanical,5.44,7.31,8.0,7.34,80.92,3.28
18,Mechanical,2.31,7.45,4.74,19.91,67.5,2.78
21,Electrical,7.16,4.62,4.44,0.2,89.99,3.33
24,Mechanical,5.18,6.95,8.25,9.55,73.51,3.17
25,ECE,6.59,8.14,6.44,16.02,94.92,3.59
18,Civil,5.01,6.07,3.93,12.41,83.73,3.2
19,Mechanical,4.59,5.81,5.33,17.09,84.92,2.7
19,IT,5.19,6.0,4.92,8.19,86.12,3.24
17,Electrical,3.8,4.69,7.9,10.38,80.18,2.51
24,IT,1.57,6.65,4.67,7.61,74.56,2.68
22,CSE,4.67,6.54,2.12,9.99,83.39,3.2
24,Civil,2.87,6.74,1.25,1.87,77.68,2.91
25,Mechanical,2.35,7.0,7.95,11.44,70.23,2.2
21,IT,4.95,5.54,3.42,8.65,88.9,3.0
19,Civil,3.58,6.83,6.34,7.35,71.71,2.96
21,CSE,5.54,7.03,5.14,16.78,78.52,3.46
21,ECE,2.82,5.91,4.17,5.51,84.62,2.64
21,Electrical,3.29,7.0,4.48,13.76,85.65,2.5
19,Civil,5.73,6.6,8.17,14.32,78.9,3.33
20,Civil,4.42,5.74,2.1,11.79,81.92,2.8
25,ECE,1.78,6.84,4.23,1.6,69.67,2.82
25,Civil,4.39,6.15,6.81,9.01,85.55,2.85
18,CSE,6.22,7.34,2.43,17.97,99.81,3.11
24,CSE,3.28,6.21,7.63,0.0,71.1,2.67
24,ECE,4.9,4.95,6.78,5.95,79.45,2.83
23,Electrical,2.73,6.82,5.54,13.51,73.62,2.81
24,Mechanical,3.79,6.78,3.99,6.35,74.16,3.18
19,IT,5.63,5.2,2.18,11.54,74.6,2.56
22,Mechanical,4.33,7.4,6.41,14.89,80.51,2.95
17,Civil,5.93,7.34,10.5,8.3,93.96,3.33
23,IT,4.64,5.46,5.29,9.85,83.09,2.75
17,ECE,7.33,5.71,1.35,7.51,99.76,3.24
25,ECE,1.65,6.33,5.92,8.67,70.67,2.72
17,Electrical,3.67,5.59,6.72,18.77,73.24,2.66
17,IT,2.37,7.27,3.16,6.64,72.21,3.03
23,CSE,2.48,6.68,3.71,5.02,64.75,2.68
18,IT,2.49,5.19,3.51,12.83,69.89,2.64
21,Civil,4.25,5.51,3.94,2.28,81.51,2.33
24,CSE,4.34,7.93,4.66,3.56,81.69,3.12
24,ECE,4.64,8.34,3.28,3.59,76.75,4.0
19,IT,2.32,7.15,2.53,5.57,66.13,2.53
23,Mechanical,3.51,6.25,5.35,5.81,79.02,2.96
19,Electrical,2.55,5.97,4.63,10.91,76.9,2.78
22,Mechanical,5.4,7.16,4.13,5.08,85.98,2.87
22,Electrical,2.69,6.59,5.17,11.14,72.19,2.43
19,Civil,3.68,4.57,1.96,11.84,83.05,2.68
23,Mechanical,4.84,7.74,5.53,3.34,80.34,3.32
19,IT,3.08,8.11,4.17,11.72,84.02,2.83
24,IT,5.04,7.38,5.48,12.23,78.48,3.16
20,Mechanical,6.39,5.19,5.8,0.0,97.21,2.58
17,IT,4.28,5.74,7.26,8.64,84.12,2.98
20,Civil,5.35,4.27,5.21,4.16,98.81,2.5
23,CSE,0.89,8.42,7.13,14.3,58.84,2.37
20,Civil,3.36,6.07,4.36,4.11,65.11,2.95
22,Electrical,4.28,9.3,4.45,0.0,87.63,3.34
25,Civil,2.42,8.85,4.82,6.83,64.75,3.0
17,Electrical,4.31,5.42,6.55,1.98,84.64,2.97
21,IT,5.59,5.65,6.26,11.76,93.86,2.97
23,CSE,1.18,7.06,5.27,2.47,67.8,2.67
17,IT,2.22,4.39,2.54,6.9,72.24,2.43
20,ECE,4.28,5.97,6.23,15.66,83.39,2.72
22,IT,4.69,5.85,3.28,13.15,87.64,3.28
18,Electrical,5.11,8.72,3.17,9.68,88.47,3.39
21,IT,4.17,6.69,2.72,6.29,74.75,2.75
17,IT,4.69,6.16,4.83,9.14,92.59,3.1
22,CSE,5.36,5.74,7.42,10.86,87.03,2.56
22,IT,3.38,7.57,3.07,1.48,79.48,3.21
20,CSE,3.09,5.9,8.36,11.77,78.99,2.85
24,Mechanical,3.75,6.44,6.82,0.83,84.52,2.77
20,ECE,4.3,5.73,2.07,10.21,86.76,2.5
24,CSE,3.01,4.68,4.23,0.8,75.72,2.78
24,Electrical,3.41,5.3,2.92,17.99,77.38,2.69
21,Mechanical,4.6,5.9,6.33,11.27,85.03,2.82
20,CSE,4.24,6.18,3.02,0.0,86.68,2.75
18,CSE,3.72,6.24,1.76,6.99,73.05,2.76
19,ECE,1.39,6.39,4.35,4.08,70.16,2.64
19,Electrical,3.99,5.91,7.34,3.42,75.54,2.67
20,Civil,2.54,8.12,4.61,7.82,81.98,3.04
20,Civil,5.47,7.64,5.8,1.8,89.21,3.28
21,CSE,3.54,6.34,5.87,11.26,75.6,2.73
20,IT,2.51,6.81,1.98,10.95,74.67,2.66
24,Electrical,3.91,6.05,3.2,8.97,79.58,2.78
22,Mechanical,5.91,3.09,5.01,6.89,88.73,2.68
22,IT,4.95,6.52,3.89,10.69,75.68,3.2
24,IT,4.33,6.87,8.41,11.43,76.53,2.77
23,Electrical,2.01,4.56,2.54,9.55,69.35,2.2
24,CSE,6.43,7.1,3.18,0.0,83.72,3.66
18,CSE,3.07,6.16,5.58,2.59,72.4,2.66
25,CSE,5.4,6.91,3.74,5.5,84.5,2.84
17,CSE,3.51,6.2,1.0,0.0,73.66,2.7
24,Civil,5.26,8.0,8.87,8.25,90.14,3.28
20,CSE,5.96,6.77,2.85,14.9,85.4,3.51
20,Civil,4.97,7.7,6.12,14.01,85.3,3.62
21,Civil,5.13,7.8,2.49,11.14,83.9,3.23
24,CSE,3.85,5.16,3.27,11.08,78.67,2.55
21,ECE,3.35,5.61,1.75,19.41,84.78,2.9
24,Mechanical,4.21,7.04,3.52,11.73,81.94,3.06
17,IT,3.49,6.06,3.71,12.18,79.32,2.69
25,Civil,7.7,6.21,4.73,0.0,94.68,3.79
22,Electrical,2.51,8.04,4.25,14.46,75.69,2.54
19,Electrical,5.5,6.13,2.12,9.23,90.44,3.76
24,Mechanical,4.78,5.34,3.95,6.55,86.32,3.0
25,Electrical,4.34,5.5,7.89,5.17,75.68,3.15
22,ECE,6.22,9.12,7.66,3.93,88.17,3.46
23,Electrical,4.45,6.29,5.91,14.04,89.41,2.59
17,IT,3.05,4.86,6.33,6.84,71.8,2.18
21,IT,4.44,4.38,9.12,4.13,90.04,2.48
21,Civil,3.73,5.75,6.14,2.68,75.89,2.83
20,CSE,4.75,6.26,6.29,7.96,84.52,3.36
22,ECE,5.22,7.64,1.87,4.99,85.16,2.91
23,Civil,2.71,7.52,2.77,3.71,69.33,2.78
25,ECE,5.79,6.49,4.93,0.0,84.81,3.36
